"SNO","FileNO","n","pt","n0","mu","multilevel_community_modularity","walktrap_community_modularity","infomap_community_modularity","louvain_community_modularity","label_pop_community_modularity","fast_community_modularity","multilevel_community_size","walktrap_community_size","infomap_community_size","louvain_community_size","label_pop_community_size","fast_community_size","clustering_coefficient","average_path_length","number_of_nodes"
"1","1.gml","1000","0.1","5","0","0.912522794290429","0.912522792816162","0.912522794290429","0.912522794290429","0.912522794290429","0.912522794290429","12","12","12","12","12","12","0.145173991300435","2.96269158265716","1015"
"2","2.gml","1000","0.1","5","0.2","0.708718002989279","0.696965277194977","0.711791765193328","0.708718002989279","0.698670043610874","0.685881425278968","12","12","12","12","13","11","0.070375","3.61717822407478","1015"
"3","3.gml","1000","0.1","5","0.4","0.524652599632444","0.487843960523605","0.542909149396286","0.524652599632444","0.46275288000081","0.455683301955077","19","30","30","19","14","8","0.0700741451635373","3.3595009764771","1015"
"4","4.gml","1000","0.1","5","0.6","0.503561148362766","0.402654528617859","0.45652235876638","0.503561148362766","0.0211106385247011","0.481053017532094","18","101","99","18","6","15","0.158166029441357","3.56168323277077","1015"
"5","5.gml","1000","0.1","5","0.8","0.517894842448378","0.425921142101288","0.476010889196257","0.517894842448378","0.0721271445066106","0.49224253693838","21","83","96","21","18","19","0.177178927732716","3.59356010920998","1015"
"6","6.gml","1000","0.1","10","0","0.906851948051948","0.906852006912231","0.906851948051948","0.906851948051948","0.906851948051948","0.906851948051949","12","12","12","12","12","12","0.134676642714275","2.89502000510769","1030"
"7","7.gml","1000","0.1","10","0.2","0.712081795486154","0.702103078365326","0.709968940005798","0.712081795486154","0.704216366307009","0.663912332021157","12","12","13","12","11","9","0.0783582089552239","3.47241454140602","1030"
"8","8.gml","1000","0.1","10","0.4","0.542627689314832","0.494498521089554","0.551935061873715","0.542627689314832","0.517611963778955","0.491413736494239","22","32","30","22","19","10","0.0668533034714446","3.43762914319681","1030"
"9","9.gml","1000","0.1","10","0.6","0.509319298528244","0.402638912200928","0.461154323198695","0.509319298528244","0.0166502282686909","0.478391963551439","20","115","104","20","5","15","0.167980802194035","3.60910677724627","1030"
"10","10.gml","1000","0.1","10","0.8","0.543262042099469","0.431129306554794","0.485104473581241","0.543262042099469","0.0334188620932734","0.514800542228824","21","100","108","21","9","18","0.187778734058368","3.71202883372489","1030"
"11","11.gml","1000","0.1","20","0","0.952041847966738","0.952041864395142","0.952041847966739","0.952041847966738","0.952041847966739","0.952041847966737","25","25","25","25","25","25","0.242846582014263","2.37203682393556","1060"
"12","12.gml","1000","0.1","20","0.2","0.774410098387417","0.772776424884796","0.772776360613956","0.774410098387417","0.764103682526684","0.755255706775946","32","52","52","32","50","31","0.303126177024482","4.20897785379586","1060"
"13","13.gml","1000","0.1","20","0.4","0.568028687260744","0.55396580696106","0.570439721716779","0.568028687260744","0.531338604289204","0.520624409681465","26","51","54","26","48","16","0.125143358294542","3.66631389527322","1060"
"14","14.gml","1000","0.1","20","0.6","0.545942648658111","0.459285408258438","0.500791051690679","0.545942648658111","0.0291157449278628","0.511799283255986","19","95","98","19","7","15","0.191960776200919","3.79160475350544","1060"
"15","15.gml","1000","0.1","20","0.8","0.576521597555427","0.480357229709625","0.527392739677429","0.576521597555427","0.104021179999224","0.546355428865707","22","82","109","22","20","21","0.201672651243125","3.86878685837476","1060"
"16","16.gml","1000","0.1","30","0","0.960604686777374","0.960604608058929","0.960604686777374","0.960604686777374","0.955188300156465","0.960086286960636","35","35","35","35","36","35","0.326669019766035","2.56734337480899","1090"
"17","17.gml","1000","0.1","30","0.2","0.763858079411528","0.765580892562866","0.76558092834707","0.763858079411528","0.757671046202583","0.733071706622997","33","35","35","33","34","22","0.191977907710141","3.77760086267175","1090"
"18","18.gml","1000","0.1","30","0.4","0.562362588398098","0.557664811611176","0.5467604526589","0.562362588398098","0.560132211395301","0.502900421322309","16","38","65","16","44","10","0.225711550178432","3.73354731636633","1090"
"19","19.gml","1000","0.1","30","0.6","0.535184381492408","0.436103045940399","0.481545142670135","0.535184381492408","0.0144753888956377","0.511047644156471","20","77","106","20","5","15","0.18384652393553","3.78451403105281","1090"
"20","20.gml","1000","0.1","30","0.8","0.569084356323193","0.45859631896019","0.513309808678727","0.569084356323193","0.0603517129484717","0.532807084661139","23","125","112","23","15","20","0.203017104005099","3.85594898105323","1090"
"21","21.gml","1000","0.1","40","0","0.958728458446506","0.958728432655334","0.958728458446506","0.958728458446506","0.94848058919323","0.958728458446506","27","27","27","27","29","27","0.243783273028969","2.45810906515581","1120"
"22","22.gml","1000","0.1","40","0.2","0.76176309354549","0.762498557567596","0.764183587286266","0.76176309354549","0.752763945127905","0.734223218711334","27","27","27","27","27","20","0.129412522545736","3.8941673049917","1120"
"23","23.gml","1000","0.1","40","0.4","0.576886531981014","0.497465997934341","0.516483014696628","0.576886531981014","0.550098501554653","0.526713425176148","20","51","96","20","49","12","0.194916031935395","3.83558981233244","1120"
"24","24.gml","1000","0.1","40","0.6","0.613077330270278","0.542222440242767","0.558746968140653","0.613077330270278","0.550718854261622","0.581508465842329","23","92","117","23","121","22","0.214085733839358","4.22277703306524","1120"
"25","25.gml","1000","0.1","40","0.8","0.593732073488099","0.481734812259674","0.538012972308215","0.593732073488099","0.531781728368245","0.556238755486692","22","99","115","22","116","16","0.218045862412762","3.96276171326439","1120"
"26","26.gml","2000","0.1","5","0","0.952800741908005","0.952800750732422","0.952800741908005","0.952800741908005","0.952800741908005","0.952800741908003","24","24","24","24","24","24","0.147606796077838","2.78549087344195","2015"
"27","27.gml","2000","0.1","5","0.2","0.758751137865763","0.754539787769318","0.75998982333857","0.758751137865763","0.75998982333857","0.721253448164046","24","25","26","24","26","20","0.0789629496725576","3.89644597002127","2015"
